Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class
0.0,0.0,0.8403361344537816,0.0,0.0,0.0,-3.636363636363636,1.25,25.0,-0.476,25.0,1.2862972348345585,0.0,0.6666666666666666,-0.4693877551020408,-0.5,-0.8,0.0,-0.4867075664621677,0
0.0,0.0,0.8403361344537816,0.0,0.0,0.0,-3.636363636363636,1.25,25.0,-0.476,25.0,1.2862972348345585,0.0,0.6666666666666666,0.0,-0.5,-0.8,0.0,0.0777096114519427,0
0.0,0.0,0.8403361344537816,0.0,0.0,0.0,-3.636363636363636,1.25,25.0,-0.476,25.0,1.2862972348345585,0.0,0.6666666666666666,0.4897959183673469,-0.5,-0.8,0.0,0.6666666666666666,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.0,-0.4693877551020408,0.5,-0.8,1.2345679012345678,-0.4907975460122699,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.0,0.0204081632653061,0.5,-0.8,1.2345679012345678,0.0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.0,0.5306122448979592,0.5,-0.8,1.2345679012345678,0.5112474437627812,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.3333333333333333,-0.4693877551020408,0.5,-0.8,1.2345679012345678,-0.4887525562372188,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.3333333333333333,0.0204081632653061,0.5,-0.8,1.2345679012345678,0.0511247443762781,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.3333333333333333,0.5306122448979592,0.5,-0.8,1.2345679012345678,0.6134969325153374,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.6666666666666666,-0.4693877551020408,0.5,-0.8,1.2345679012345678,-0.4867075664621677,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.6666666666666666,0.0204081632653061,0.5,-0.8,1.2345679012345678,0.1022494887525562,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,0.6666666666666666,0.5306122448979592,0.5,-0.8,1.2345679012345678,0.7157464212678937,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,1.0,-0.4693877551020408,0.5,-0.8,1.2345679012345678,-0.4846625766871165,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.476,0.0,-0.4537744270064096,0.0601128695429008,1.0,-0.2448979591836734,0.5,-0.8,1.2345679012345678,-0.1922290388548057,1
