Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,predicted_n,log10_k,alloy_group,kinetics_class
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.22734663597735372,0.0,-0.46938775510204084,-0.5,0.8,0.0,-0.49079754601226994,-1.0,2.3010299956639813,TiVZrNbMo,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.22734663597735372,0.0,0.0,-0.5,0.8,0.0,-0.02044989775051125,-1.0,2.3010299956639813,TiVZrNbMo,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.22734663597735372,0.0,0.4897959183673469,-0.5,0.8,0.0,0.4703476482617587,-1.0,2.3010299956639813,TiVZrNbMo,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.6363636363636362,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-1.0,-0.46938775510204084,-0.5,1.2,0.0,-0.49693251533742333,-1.0,1.6232492903979006,TiVZrHf,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.6363636363636362,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-1.0,0.5306122448979592,-0.5,1.2,0.0,0.20449897750511248,-1.0,1.6232492903979006,TiVZrHf,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.6363636363636362,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-1.0,1.5510204081632653,-0.5,1.2,0.0,0.9202453987730062,-1.0,1.6232492903979006,TiVZrHf,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.6363636363636362,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-0.3333333333333333,-0.46938775510204084,-0.5,1.2,0.0,-0.49284253578732107,-1.0,2.161368002234975,TiVZrHf,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.6363636363636362,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-0.3333333333333333,0.5306122448979592,-0.5,1.2,0.0,0.40899795501022496,-1.0,2.161368002234975,TiVZrHf,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.6363636363636362,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-0.3333333333333333,1.5510204081632653,-0.5,1.2,0.0,1.329243353783231,-1.0,2.161368002234975,TiVZrHf,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.16967904961487953,-0.6666666666666666,-0.46938775510204084,0.0,0.8,0.0,-0.4948875255623722,-1.0,1.740362689494244,TiVCrZrNb,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.16967904961487953,-0.6666666666666666,0.02040816326530612,0.0,0.8,0.0,-0.10224948875255624,-1.0,1.740362689494244,TiVCrZrNb,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.16967904961487953,-0.6666666666666666,0.5306122448979592,0.0,0.8,0.0,0.3067484662576687,-1.0,1.740362689494244,TiVCrZrNb,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.16967904961487953,0.0,-0.46938775510204084,0.0,0.8,0.0,-0.49079754601226994,-1.0,2.255272505103306,TiVCrZrNb,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.16967904961487953,0.0,0.02040816326530612,0.0,0.8,0.0,0.0,-1.0,2.255272505103306,TiVCrZrNb,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.16967904961487953,0.0,0.5306122448979592,0.0,0.8,0.0,0.5112474437627812,-1.0,2.255272505103306,TiVCrZrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,-0.3333333333333333,-0.46938775510204084,0.5,0.0,1.2345679012345678,-0.49284253578732107,-1.0,1.6532125137753435,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,-0.3333333333333333,0.02040816326530612,0.5,0.0,1.2345679012345678,-0.05112474437627812,-1.0,1.6532125137753435,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,-0.3333333333333333,0.5306122448979592,0.5,0.0,1.2345679012345678,0.40899795501022496,-1.0,1.6532125137753435,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,0.0,-0.46938775510204084,0.5,0.0,1.2345679012345678,-0.49079754601226994,-1.0,1.9304395947667,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,0.0,0.02040816326530612,0.5,0.0,1.2345679012345678,0.0,-1.0,1.9304395947667,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,0.0,0.5306122448979592,0.5,0.0,1.2345679012345678,0.5112474437627812,-1.0,1.9304395947667,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,0.3333333333333333,-0.46938775510204084,0.5,0.0,1.2345679012345678,-0.4887525562372188,-1.0,2.1760912590556813,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,0.3333333333333333,0.0,0.5,0.0,1.2345679012345678,0.028629856850715747,-1.0,2.1760912590556813,AlTiVCrNb,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.476,0.0,-0.8543553086124543,-0.08190123655347283,0.3333333333333333,0.4897959183673469,0.5,0.0,1.2345679012345678,0.5685071574642127,-1.0,2.1760912590556813,AlTiVCrNb,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.8573918577694042,-0.7056969122269973,0.0,-0.46938775510204084,-0.5,0.0,0.0,-0.49079754601226994,-1.0,1.1760912590556811,VNbMoTaW,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.8573918577694042,-0.7056969122269973,0.0,0.0,-0.5,0.0,0.0,-0.02044989775051125,-1.0,1.1760912590556811,VNbMoTaW,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.8573918577694042,-0.7056969122269973,0.0,0.4897959183673469,-0.5,0.0,0.0,0.4703476482617587,-1.0,1.1760912590556811,VNbMoTaW,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.8573918577694042,-0.7056969122269973,0.6666666666666666,-0.46938775510204084,-0.5,0.0,0.0,-0.4867075664621677,-1.0,1.6232492903979006,VNbMoTaW,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.8573918577694042,-0.7056969122269973,0.6666666666666666,0.0,-0.5,0.0,0.0,0.07770961145194274,-1.0,1.6232492903979006,VNbMoTaW,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.8573918577694042,-0.7056969122269973,0.6666666666666666,0.4897959183673469,-0.5,0.0,0.0,0.6666666666666666,-1.0,1.6232492903979006,VNbMoTaW,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270903,-0.6666666666666666,-0.46938775510204084,-0.5,0.2,0.0,-0.4948875255623722,-1.0,1.4771212547196624,TiVNbMo,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270903,-0.6666666666666666,0.5306122448979592,-0.5,0.2,0.0,0.3067484662576687,-1.0,1.4771212547196624,TiVNbMo,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270903,-0.6666666666666666,1.5510204081632653,-0.5,0.2,0.0,1.1247443762781186,-1.0,1.4771212547196624,TiVNbMo,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270903,0.0,-0.46938775510204084,-0.5,0.2,0.0,-0.49079754601226994,-1.0,1.9030899869919435,TiVNbMo,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270903,0.0,0.5306122448979592,-0.5,0.2,0.0,0.5112474437627812,-1.0,1.9030899869919435,TiVNbMo,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270903,0.0,1.5510204081632653,-0.5,0.2,0.0,1.5337423312883436,-1.0,1.9030899869919435,TiVNbMo,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.10702757075168497,-1.1067579151186933,-0.6666666666666666,-0.46938775510204084,0.125,0.2,0.0,-0.4948875255623722,-1.0,1.3979400086720375,TiVCrNb,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.10702757075168497,-1.1067579151186933,-0.6666666666666666,0.5306122448979592,0.125,0.2,0.0,0.3067484662576687,-1.0,1.3979400086720375,TiVCrNb,0
